축제번호,축제명,소분류,개최장소,축제 기간,축제내용,주관기관,지역 코드
F0438,한강낙동강발원지축제,문화,검룡소 및 황지연못 등 시내일원,7,야외영화상영| 중앙로 물놀이난장| 물총퍼레이드| 공연 및 체험프로그램 등,강원도 태백시,J05
F0439,둔내고랭지토마토축제,먹거리,둔내면사무소~둔내파출소 간,8,토마토풀장| 향토음식체험| 추억의 물총놀이 등,둔내고랭지토마토축제위원회,J09
F0440,안흥찐빵축제,먹거리,주천강 실미교 아래 둔치,9,안흥찐빵 시식 및 홍보| 농경문화 체험| 먹거리장터운영 등,안흥찐빵축제위원회,J09
F0441,횡성더덕축제,먹거리,청일면 유동3리 농거리야영장,8,더덕요리경연대회| 더덕캐기체험| 더덕품평회 등,횡성더덕축제위원회,J09
F0442,횡성한우축제,먹거리,횡서읍 섬강둔치 일원,10,한우구이터| 발골이벤트| 한우퍼레이드| 스템프투어 등,횡성문화재단,J09
F0443,대관령눈꽃축제,겨울,대관령면 횡계리 송천일원,1,눈조각전시+눈썰매체험,대관령면축제위원회,J11
F0444,오대산문화축전,문화,오대산 월정사,10,산사음악회+전시+불교문화체험,월정사,J11
F0445,평창더위사냥축제,여름,대화면 대화리 땀띠공원 일원,7,캠핑체험+물놀이+땀띠귀신사냥 워터워,평창더위사냥축제위원회,J11
F0446,평창백일홍축제,문화,평창읍 일원,9,백일홍 포토죤+ 문화예술공연,평창백일홍축제위원회,J11
F0447,평창송어축제,먹거리,진부면 오대천일원,12,송어얼음낚시+송어맨손잡기,평창송어축제위원회,J11
F0448,평창효석문화제,역사,봉평면 효석문화마을,9,메밀꽃 포토존+ 문화예술체험 및 공연,이효석문학선양회,J11
F0449,2018 정선고드름축제,예술,정선읍 조양강변,2,맨손 송어잡치 체험| 송어낚시| VR체험| 겨울테마 전시 등,(재)정선아리랑문화재단,J12
F0450,민둥산억새꽃축제,꽃놀이,남면 민둥산,9,등반대회|산신제,민둥산억새꽃축제추진위원회,J12
F0451,정선아리랑제,역사,정선읍 아라리공원,9,강원도 무형문화재 제1호인 정선아리랑의 전승보존 및 계승,(사)정선아리랑제위원회),J12
F0452,함백산야생화축제,꽃놀이,고한읍 함백산,7,야생화탐방,함백산야생화축제추진위원회,J12
F0453,DMZ마라톤대회,운동,방산면송현리,8,민관군 마라톤대회,전국마라톤협회,J15
F0454,곰취축제,먹거리,레포츠공원일원,5,곰취 현장채취체험| 곰취 떡메치기| 맨손물고기잡기| 양구산채 홍보 및 전시| 판매 및 먹거리 등,곰취축제집행위원회,J15
F0455,달맞이축제,해돋이,국민체육센터 앞,2,국토정중앙행사| 전통달맞이행사| 민속놀이경연|상설행사 등,양구문화원,J15
F0456,도솔산지구전투 전승행사,역사,레포츠공원일원,6,기념식| 추모식 및 전적지순례| 공연·전시 및 체험행사,도솔산전적문화제 집행위원회,J15
F0457,배꼽축제,문화,레포츠공원일원,8,전국배꼽가요제| 배꼽DJ페스타| 맨손물고기잡기| 배꼽물난리WAR| 배꼽댄스포메이션| 양구명품수박 전시·홍보·판매 등,배꼽축제집행위원회,J15
F0458,시래기축제,문화,해안면 펀치볼 힐링하우스광장일원,10,시래기 덕장체험| 시래기 떡메치기| 농촌체험| 사과 품평회 및 시식회| DMZ 평화바람길 걷기 등,시래기축제집행위원회,J15
F0459,양록제,문화,종합운동장,10,읍면대항 민속 및 체육경기| 양록제례| 양구문화예술축제| 농특산물 품평회| 금강산가는 옛길 걷기대회 등,양록제집행위원회,J15
F0460,인제빙어축제,먹거리,강원도 인제군 남면 부평리 빙어호,1,축제행사| 빙어낚시| 체험| 특산품 판매| 공연,(재)인제군문화재단,J16
F0461,진동계곡산나물축제,먹거리,강원도 인제군 기린면 진동리 농촌체험학교,5,공연행사| 체험행사| 특산품 판매,진동계곡산나물축제 추진위원회,J16
F0462,황태축제,먹거리,강원도 인제군 북면 용대3리 용대삼거리,6,공연행사| 체험행사| 특산품 판매,황태축제위원회,J16
F0463,제21회 고성통일명태축제,먹거리,강원도 고성군 거진읍 거진11리 해변,10,고성통일명태와 떠나는 평화 여행,고성통일명태축제위원회,J17
F0464,제37회 고성군민의 날 및 수성문화제,문화,고성종합운동장외 부대시설,9,수성제례| 군민의 날 행사 등,고성문화원,J17
F0465,양양문화제,문화,양양남대천 둔치 및 부대행사장,6,지역문화예술 전통축제,양양문화제위원회,J18
F0466,양양송이축제,먹거리,양양남대천 둔치 및 부대행사장,9,송이채취현장체험| 송이보물찾기체험 등,양양군축제위원회,J18
F0467,양양연어축제,먹거리,양양남대천 둔치 및 부대행사장,10,연어맨손잡이체험| 연어탁본 등,양양군축제위원회,J18
